Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Home,Neutral,Away,Numot,Win
2004,137,2004_1338,53,2004_1416,44,N,0,1,0,0,1
2004,137,2004_1412,102,2004_1449,100,N,0,1,0,0,1
2004,137,2004_1435,71,2004_1444,58,N,0,1,0,0,1
2004,137,2004_1458,76,2004_1350,64,N,0,1,0,0,1
2004,137,2004_1462,80,2004_1257,70,N,0,1,0,0,1
2004,138,2004_1104,70,2004_1390,67,N,0,1,0,0,1
2004,138,2004_1163,72,2004_1177,55,N,0,1,0,0,1
2004,138,2004_1181,90,2004_1371,62,N,0,1,0,0,1
2004,138,2004_1305,91,2004_1211,72,N,0,1,0,0,1
2004,138,2004_1386,70,2004_1403,65,N,0,1,0,0,1
2004,138,2004_1393,72,2004_1268,70,N,0,1,0,0,1
2004,138,2004_1400,78,2004_1314,75,N,0,1,0,0,1
2004,138,2004_1448,84,2004_1264,80,N,0,1,0,0,1
2004,139,2004_1210,57,2004_1130,54,N,0,1,0,0,1
2004,139,2004_1228,92,2004_1153,68,N,0,1,0,0,1
2004,139,2004_1242,78,2004_1334,63,N,0,1,0,0,1
2004,139,2004_1329,70,2004_1272,53,N,0,1,0,0,1
2004,139,2004_1338,59,2004_1458,55,N,0,1,0,0,1
2004,139,2004_1412,76,2004_1246,75,N,0,1,0,0,1
2004,139,2004_1435,75,2004_1301,73,N,0,1,0,0,1
2004,139,2004_1462,89,2004_1280,74,N,0,1,0,0,1
2004,143,2004_1104,80,2004_1393,71,N,0,1,0,0,1
2004,143,2004_1163,73,2004_1435,53,N,0,1,0,0,1
2004,143,2004_1329,63,2004_1338,51,N,0,1,0,0,1
2004,143,2004_1386,84,2004_1448,80,N,0,1,0,0,1
2004,144,2004_1181,72,2004_1228,62,N,0,1,0,0,1
2004,144,2004_1210,72,2004_1305,67,N,0,1,0,0,1
2004,144,2004_1242,100,2004_1412,74,N,0,1,0,0,1
2004,144,2004_1462,79,2004_1400,71,N,0,1,0,0,1
2004,145,2004_1163,87,2004_1104,71,N,0,1,0,0,1
2004,145,2004_1329,64,2004_1386,62,N,0,1,0,0,1
2004,146,2004_1181,66,2004_1462,63,N,0,1,0,0,1
2004,146,2004_1210,79,2004_1242,71,N,0,1,0,1,1
2004,152,2004_1163,79,2004_1181,78,N,0,1,0,0,1
2004,152,2004_1210,67,2004_1329,65,N,0,1,0,0,1
2004,154,2004_1163,82,2004_1210,73,N,0,1,0,0,1
2005,134,2005_1324,79,2005_1105,69,N,0,1,0,0,1
2005,136,2005_1112,66,2005_1429,53,N,0,1,0,0,1
2005,136,2005_1130,85,2005_1335,65,N,0,1,0,0,1
2005,136,2005_1153,76,2005_1234,64,N,0,1,0,0,1
2005,136,2005_1211,74,2005_1457,64,N,0,1,0,0,1
2005,136,2005_1228,67,2005_1192,55,N,0,1,0,0,1
2005,136,2005_1246,72,2005_1184,64,N,0,1,0,0,1
2005,136,2005_1305,61,2005_1400,57,N,0,1,0,0,1
2005,136,2005_1328,84,2005_1310,67,N,0,1,0,0,1
2005,136,2005_1334,79,2005_1338,71,N,0,1,0,0,1
2005,136,2005_1403,78,2005_1417,66,N,0,1,0,0,1
2005,136,2005_1412,82,2005_1261,68,N,0,1,0,0,1
2005,136,2005_1428,60,2005_1431,54,N,0,1,0,0,1
2005,136,2005_1448,70,2005_1151,54,N,0,1,0,0,1
2005,136,2005_1449,88,2005_1285,77,N,0,1,0,0,1
2005,136,2005_1452,63,2005_1166,61,N,0,1,0,0,1
2005,136,2005_1454,83,2005_1104,73,N,0,1,0,0,1
2005,137,2005_1137,64,2005_1242,63,N,0,1,0,0,1
2005,137,2005_1163,77,2005_1416,71,N,0,1,0,0,1
2005,137,2005_1181,57,2005_1175,46,N,0,1,0,0,1
2005,137,2005_1196,67,2005_1325,62,N,0,1,0,0,1
2005,137,2005_1210,80,2005_1203,68,N,0,1,0,0,1
2005,137,2005_1235,64,2005_1278,53,N,0,1,0,0,1
2005,137,2005_1257,68,2005_1418,62,N,0,1,0,0,1
2005,137,2005_1277,89,2005_1330,81,N,0,1,0,0,1
2005,137,2005_1280,93,2005_1390,70,N,0,1,0,0,1
2005,137,2005_1301,75,2005_1150,63,N,0,1,0,0,1
2005,137,2005_1314,96,2005_1324,68,N,0,1,0,0,1
2005,137,2005_1329,63,2005_1368,50,N,0,1,0,0,1
2005,137,2005_1356,65,2005_1388,56,N,0,1,0,0,1
2005,137,2005_1436,60,2005_1393,57,N,0,1,0,1,1
2005,137,2005_1437,55,2005_1307,47,N,0,1,0,0,1
2005,137,2005_1458,57,2005_1320,52,N,0,1,0,0,1
2005,138,2005_1112,85,2005_1412,63,N,0,1,0,0,1
2005,138,2005_1228,71,2005_1305,59,N,0,1,0,0,1
2005,138,2005_1246,69,2005_1153,60,N,0,1,0,0,1
2005,138,2005_1403,71,2005_1211,69,N,0,1,0,0,1
2005,138,2005_1428,67,2005_1328,58,N,0,1,0,0,1
2005,138,2005_1449,97,2005_1334,79,N,0,1,0,0,1
2005,138,2005_1452,111,2005_1448,105,N,0,1,0,2,1
2005,138,2005_1454,83,2005_1130,75,N,0,1,0,0,1
2005,139,2005_1181,63,2005_1280,55,N,0,1,0,0,1
2005,139,2005_1257,76,2005_1210,54,N,0,1,0,0,1
2005,139,2005_1277,72,2005_1436,61,N,0,1,0,0,1
2005,139,2005_1301,65,2005_1163,62,N,0,1,0,0,1
2005,139,2005_1314,92,2005_1235,65,N,0,1,0,0,1
2005,139,2005_1329,85,2005_1356,77,N,0,1,0,0,1
2005,139,2005_1437,76,2005_1196,65,N,0,1,0,0,1
2005,139,2005_1458,71,2005_1137,62,N,0,1,0,0,1
2005,143,2005_1112,79,2005_1329,78,N,0,1,0,0,1
2005,143,2005_1228,77,2005_1454,63,N,0,1,0,0,1
2005,143,2005_1257,93,2005_1449,79,N,0,1,0,0,1
2005,143,2005_1452,65,2005_1403,60,N,0,1,0,0,1
2005,144,2005_1246,62,2005_1428,52,N,0,1,0,0,1
2005,144,2005_1277,78,2005_1181,68,N,0,1,0,0,1
2005,144,2005_1314,67,2005_1437,66,N,0,1,0,0,1
2005,144,2005_1458,65,2005_1301,56,N,0,1,0,0,1
2005,145,2005_1228,90,2005_1112,89,N,0,1,0,1,1
2005,145,2005_1257,93,2005_1452,85,N,0,1,0,1,1
2005,146,2005_1277,94,2005_1246,88,N,0,1,0,2,1
2005,146,2005_1314,88,2005_1458,82,N,0,1,0,0,1
2005,152,2005_1228,72,2005_1257,57,N,0,1,0,0,1
2005,152,2005_1314,87,2005_1277,71,N,0,1,0,0,1
2005,154,2005_1314,75,2005_1228,70,N,0,1,0,0,1
2006,134,2006_1284,71,2006_1214,49,N,0,1,0,0,1
2006,136,2006_1104,90,2006_1266,85,N,0,1,0,0,1
2006,136,2006_1130,88,2006_1334,76,N,0,1,0,2,1
2006,136,2006_1181,70,2006_1380,54,N,0,1,0,0,1
2006,136,2006_1196,76,2006_1375,50,N,0,1,0,0,1
2006,136,2006_1203,88,2006_1423,85,N,0,1,0,1,1
2006,136,2006_1211,79,2006_1462,75,N,0,1,0,0,1
2006,136,2006_1228,78,2006_1102,69,N,0,1,0,0,1
2006,136,2006_1231,87,2006_1361,83,N,0,1,0,0,1
2006,136,2006_1261,80,2006_1233,64,N,0,1,0,0,1
2006,136,2006_1285,87,2006_1305,79,N,0,1,0,0,1
2006,136,2006_1397,63,2006_1457,61,N,0,1,0,0,1
2006,136,2006_1401,66,2006_1393,58,N,0,1,0,0,1
2006,136,2006_1417,78,2006_1125,44,N,0,1,0,0,1
2006,136,2006_1449,75,2006_1429,61,N,0,1,0,0,1
2006,136,2006_1454,82,2006_1328,74,N,0,1,0,0,1
2006,136,2006_1455,86,2006_1371,66,N,0,1,0,0,1
2006,137,2006_1112,94,2006_1458,75,N,0,1,0,0,1
2006,137,2006_1133,77,2006_1242,73,N,0,1,0,0,1
2006,137,2006_1137,59,2006_1116,55,N,0,1,0,0,1
2006,137,2006_1163,72,2006_1107,59,N,0,1,0,0,1
2006,137,2006_1206,75,2006_1277,65,N,0,1,0,0,1
2006,137,2006_1207,54,2006_1320,49,N,0,1,0,0,1
2006,137,2006_1246,69,2006_1412,64,N,0,1,0,0,1
2006,137,2006_1272,94,2006_1331,78,N,0,1,0,0,1
2006,137,2006_1301,58,2006_1143,52,N,0,1,0,0,1
2006,137,2006_1314,69,2006_1293,65,N,0,1,0,0,1
2006,137,2006_1322,64,2006_1234,63,N,0,1,0,0,1
2006,137,2006_1326,70,2006_1172,62,N,0,1,0,0,1
2006,137,2006_1338,79,2006_1245,64,N,0,1,0,0,1
2006,137,2006_1400,60,2006_1335,52,N,0,1,0,0,1
2006,137,2006_1437,58,2006_1284,45,N,0,1,0,0,1
2006,137,2006_1452,64,2006_1356,46,N,0,1,0,0,1
2006,138,2006_1130,69,2006_1285,56,N,0,1,0,0,1
2006,138,2006_1181,74,2006_1203,61,N,0,1,0,0,1
2006,138,2006_1196,82,2006_1454,60,N,0,1,0,0,1
2006,138,2006_1211,90,2006_1231,80,N,0,1,0,0,1
2006,138,2006_1261,58,2006_1401,57,N,0,1,0,0,1
2006,138,2006_1417,62,2006_1104,59,N,0,1,0,0,1
2006,138,2006_1449,67,2006_1228,64,N,0,1,0,0,1
2006,138,2006_1455,80,2006_1397,73,N,0,1,0,0,1
2006,139,2006_1133,72,2006_1338,66,N,0,1,0,0,1
2006,139,2006_1163,87,2006_1246,83,N,0,1,0,0,1
2006,139,2006_1206,65,2006_1314,60,N,0,1,0,0,1
2006,139,2006_1207,70,2006_1326,52,N,0,1,0,0,1
2006,139,2006_1272,72,2006_1137,56,N,0,1,0,0,1
2006,139,2006_1400,75,2006_1301,54,N,0,1,0,0,1
2006,139,2006_1437,82,2006_1112,78,N,0,1,0,0,1
2006,139,2006_1452,67,2006_1322,54,N,0,1,0,0,1
2006,143,2006_1261,62,2006_1181,54,N,0,1,0,0,1
2006,143,2006_1272,80,2006_1133,64,N,0,1,0,0,1
2006,143,2006_1400,74,2006_1452,71,N,0,1,0,0,1
2006,143,2006_1417,73,2006_1211,71,N,0,1,0,0,1
2006,144,2006_1163,98,2006_1449,92,N,0,1,0,1,1
2006,144,2006_1196,57,2006_1207,53,N,0,1,0,0,1
2006,144,2006_1206,63,2006_1455,55,N,0,1,0,0,1
2006,144,2006_1437,60,2006_1130,59,N,0,1,0,1,1
2006,145,2006_1261,70,2006_1400,60,N,0,1,0,1,1
2006,145,2006_1417,50,2006_1272,45,N,0,1,0,0,1
2006,146,2006_1196,75,2006_1437,62,N,0,1,0,0,1
2006,146,2006_1206,86,2006_1163,84,N,0,1,0,1,1
2006,152,2006_1196,73,2006_1206,58,N,0,1,0,0,1
2006,152,2006_1417,59,2006_1261,45,N,0,1,0,0,1
2006,154,2006_1196,73,2006_1417,57,N,0,1,0,0,1
2007,134,2007_1310,77,2007_1197,69,N,0,1,0,0,1
2007,136,2007_1130,84,2007_1403,75,N,0,1,0,0,1
2007,136,2007_1139,57,2007_1330,46,N,0,1,0,0,1
2007,136,2007_1207,80,2007_1125,55,N,0,1,0,0,1
2007,136,2007_1231,70,2007_1211,57,N,0,1,0,0,1
2007,136,2007_1257,78,2007_1390,58,N,0,1,0,0,1
2007,136,2007_1268,82,2007_1172,70,N,0,1,0,0,1
2007,136,2007_1277,61,2007_1266,49,N,0,1,0,0,1
2007,136,2007_1314,86,2007_1184,65,N,0,1,0,0,1
2007,136,2007_1326,78,2007_1148,57,N,0,1,0,0,1
2007,136,2007_1338,79,2007_1460,58,N,0,1,0,0,1
2007,136,2007_1401,68,2007_1335,52,N,0,1,0,0,1
2007,136,2007_1417,70,2007_1451,42,N,0,1,0,0,1
2007,136,2007_1433,79,2007_1181,77,N,0,1,0,0,1
2007,136,2007_1435,77,2007_1203,44,N,0,1,0,0,1
2007,136,2007_1450,70,2007_1331,54,N,0,1,0,0,1
2007,136,2007_1462,79,2007_1140,77,N,0,1,0,0,1
2007,137,2007_1196,112,2007_1238,69,N,0,1,0,0,1
2007,137,2007_1242,107,2007_1310,67,N,0,1,0,0,1
2007,137,2007_1246,67,2007_1437,58,N,0,1,0,0,1
2007,137,2007_1272,73,2007_1317,58,N,0,1,0,0,1
2007,137,2007_1305,77,2007_1166,71,N,0,1,0,1,1
2007,137,2007_1332,58,2007_1275,56,N,0,1,0,0,1
2007,137,2007_1345,72,2007_1112,63,N,0,1,0,0,1
2007,137,2007_1356,61,2007_1221,51,N,0,1,0,0,1
2007,137,2007_1397,121,2007_1253,86,N,0,1,0,0,1
2007,137,2007_1400,79,2007_1308,67,N,0,1,0,0,1
2007,137,2007_1424,67,2007_1210,63,N,0,1,0,0,1
2007,137,2007_1425,77,2007_1116,60,N,0,1,0,0,1
2007,137,2007_1438,84,2007_1107,57,N,0,1,0,0,1
2007,137,2007_1439,54,2007_1228,52,N,0,1,0,0,1
2007,137,2007_1457,74,2007_1323,64,N,0,1,0,0,1
2007,137,2007_1458,76,2007_1394,63,N,0,1,0,0,1
2007,138,2007_1139,62,2007_1268,59,N,0,1,0,0,1
2007,138,2007_1207,62,2007_1130,55,N,0,1,0,0,1
2007,138,2007_1314,81,2007_1277,67,N,0,1,0,0,1
2007,138,2007_1326,78,2007_1462,71,N,0,1,0,1,1
2007,138,2007_1338,84,2007_1433,79,N,0,1,0,1,1
2007,138,2007_1401,72,2007_1257,69,N,0,1,0,0,1
2007,138,2007_1417,54,2007_1231,49,N,0,1,0,0,1
2007,138,2007_1435,78,2007_1450,74,N,0,1,0,2,1
2007,139,2007_1196,74,2007_1345,67,N,0,1,0,0,1
2007,139,2007_1242,88,2007_1246,76,N,0,1,0,0,1
2007,139,2007_1272,78,2007_1305,62,N,0,1,0,0,1
2007,139,2007_1332,75,2007_1457,61,N,0,1,0,0,1
2007,139,2007_1356,63,2007_1439,48,N,0,1,0,0,1
2007,139,2007_1397,77,2007_1438,74,N,0,1,0,0,1
2007,139,2007_1424,74,2007_1458,68,N,0,1,0,0,1
2007,139,2007_1425,87,2007_1400,68,N,0,1,0,0,1
2007,143,2007_1242,61,2007_1356,58,N,0,1,0,0,1
2007,143,2007_1272,65,2007_1401,64,N,0,1,0,0,1
2007,143,2007_1326,85,2007_1397,84,N,0,1,0,0,1
2007,143,2007_1417,64,2007_1338,55,N,0,1,0,0,1
2007,144,2007_1196,65,2007_1139,57,N,0,1,0,0,1
2007,144,2007_1207,66,2007_1435,65,N,0,1,0,0,1
2007,144,2007_1314,74,2007_1425,64,N,0,1,0,0,1
2007,144,2007_1332,76,2007_1424,72,N,0,1,0,0,1
2007,145,2007_1326,92,2007_1272,76,N,0,1,0,0,1
2007,145,2007_1417,68,2007_1242,55,N,0,1,0,0,1
2007,146,2007_1196,85,2007_1332,77,N,0,1,0,0,1
2007,146,2007_1207,96,2007_1314,84,N,0,1,0,1,1
2007,152,2007_1196,76,2007_1417,66,N,0,1,0,0,1
2007,152,2007_1326,67,2007_1207,60,N,0,1,0,0,1
2007,154,2007_1196,84,2007_1326,75,N,0,1,0,0,1
2008,134,2008_1291,69,2008_1164,60,N,0,1,0,0,1
2008,136,2008_1181,71,2008_1125,70,N,0,1,0,0,1
2008,136,2008_1242,85,2008_1340,61,N,0,1,0,0,1
2008,136,2008_1243,80,2008_1425,67,N,0,1,0,0,1
2008,136,2008_1266,74,2008_1246,66,N,0,1,0,0,1
2008,136,2008_1277,72,2008_1396,61,N,0,1,0,0,1
2008,136,2008_1323,68,2008_1206,50,N,0,1,0,0,1
2008,136,2008_1338,82,2008_1331,63,N,0,1,0,0,1
2008,136,2008_1345,90,2008_1124,79,N,0,1,0,0,1
2008,136,2008_1390,77,2008_1165,53,N,0,1,0,0,1
2008,136,2008_1401,67,2008_1140,62,N,0,1,0,0,1
2008,136,2008_1417,70,2008_1290,29,N,0,1,0,0,1
2008,136,2008_1424,71,2008_1245,58,N,0,1,0,0,1
2008,136,2008_1450,71,2008_1457,40,N,0,1,0,0,1
2008,136,2008_1452,75,2008_1112,65,N,0,1,0,0,1
2008,136,2008_1458,71,2008_1168,56,N,0,1,0,0,1
2008,136,2008_1462,73,2008_1208,61,N,0,1,0,0,1
2008,137,2008_1116,86,2008_1231,72,N,0,1,0,0,1
2008,137,2008_1139,81,2008_1375,61,N,0,1,0,0,1
2008,137,2008_1172,82,2008_1211,76,N,0,1,0,0,1
2008,137,2008_1207,66,2008_1420,47,N,0,1,0,0,1
2008,137,2008_1257,79,2008_1129,61,N,0,1,0,0,1
2008,137,2008_1272,87,2008_1426,63,N,0,1,0,0,1
2008,137,2008_1274,78,2008_1388,64,N,0,1,0,0,1
2008,137,2008_1280,76,2008_1332,69,N,0,1,0,0,1
2008,137,2008_1314,113,2008_1291,74,N,0,1,0,0,1
2008,137,2008_1328,72,2008_1386,64,N,0,1,0,0,1
2008,137,2008_1360,70,2008_1163,69,N,0,1,0,1,1
2008,137,2008_1373,83,2008_1435,62,N,0,1,0,0,1
2008,137,2008_1397,72,2008_1110,57,N,0,1,0,0,1
2008,137,2008_1400,74,2008_1122,54,N,0,1,0,0,1
2008,137,2008_1437,75,2008_1155,69,N,0,1,0,0,1
2008,137,2008_1443,101,2008_1179,99,N,0,1,0,1,1
2008,138,2008_1242,75,2008_1424,56,N,0,1,0,0,1
2008,138,2008_1277,65,2008_1338,54,N,0,1,0,0,1
2008,138,2008_1390,82,2008_1266,81,N,0,1,0,1,1
2008,138,2008_1417,51,2008_1401,49,N,0,1,0,0,1
2008,138,2008_1450,61,2008_1323,41,N,0,1,0,0,1
2008,138,2008_1452,73,2008_1181,67,N,0,1,0,0,1
2008,138,2008_1458,72,2008_1243,55,N,0,1,0,0,1
2008,138,2008_1462,85,2008_1345,78,N,0,1,0,0,1
2008,139,2008_1172,74,2008_1207,70,N,0,1,0,0,1
2008,139,2008_1257,78,2008_1328,48,N,0,1,0,0,1
2008,139,2008_1272,77,2008_1280,74,N,0,1,0,0,1
2008,139,2008_1314,108,2008_1116,77,N,0,1,0,0,1
2008,139,2008_1397,76,2008_1139,71,N,0,1,0,1,1
2008,139,2008_1400,75,2008_1274,72,N,0,1,0,0,1
2008,139,2008_1437,84,2008_1373,72,N,0,1,0,0,1
2008,139,2008_1443,72,2008_1360,63,N,0,1,0,0,1
2008,143,2008_1257,79,2008_1397,60,N,0,1,0,0,1
2008,143,2008_1314,68,2008_1450,47,N,0,1,0,0,1
2008,143,2008_1417,88,2008_1443,78,N,0,1,0,0,1
2008,143,2008_1462,79,2008_1452,75,N,0,1,0,1,1
2008,144,2008_1172,73,2008_1458,56,N,0,1,0,0,1
2008,144,2008_1242,72,2008_1437,57,N,0,1,0,0,1
2008,144,2008_1272,92,2008_1277,74,N,0,1,0,0,1
2008,144,2008_1400,82,2008_1390,62,N,0,1,0,0,1
2008,145,2008_1314,83,2008_1257,73,N,0,1,0,0,1
2008,145,2008_1417,76,2008_1462,57,N,0,1,0,0,1
2008,146,2008_1242,59,2008_1172,57,N,0,1,0,0,1
2008,146,2008_1272,85,2008_1400,67,N,0,1,0,0,1
2008,152,2008_1242,84,2008_1314,66,N,0,1,0,0,1
2008,152,2008_1272,78,2008_1417,63,N,0,1,0,0,1
2008,154,2008_1242,75,2008_1272,68,N,0,1,0,1,1
2009,134,2009_1287,58,2009_1106,43,N,0,1,0,0,1
2009,136,2009_1163,103,2009_1151,47,N,0,1,0,0,1
2009,136,2009_1181,86,2009_1127,62,N,0,1,0,0,1
2009,136,2009_1211,77,2009_1103,64,N,0,1,0,0,1
2009,136,2009_1261,75,2009_1139,71,N,0,1,0,0,1
2009,136,2009_1268,84,2009_1143,71,N,0,1,0,0,1
2009,136,2009_1272,81,2009_1169,70,N,0,1,0,0,1
2009,136,2009_1276,62,2009_1155,59,N,0,1,0,0,1
2009,136,2009_1314,101,2009_1347,58,N,0,1,0,0,1
2009,136,2009_1328,82,2009_1288,54,N,0,1,0,0,1
2009,136,2009_1345,61,2009_1320,56,N,0,1,0,0,1
2009,136,2009_1400,76,2009_1278,62,N,0,1,0,0,1
2009,136,2009_1401,79,2009_1140,66,N,0,1,0,0,1
2009,136,2009_1417,65,2009_1433,64,N,0,1,0,0,1
2009,136,2009_1437,80,2009_1110,67,N,0,1,0,0,1
2009,136,2009_1443,76,2009_1228,72,N,0,1,0,0,1
2009,136,2009_1449,71,2009_1280,58,N,0,1,0,0,1
2009,137,2009_1112,84,2009_1428,71,N,0,1,0,0,1
2009,137,2009_1113,66,2009_1396,57,N,0,1,0,0,1
2009,137,2009_1156,84,2009_1448,69,N,0,1,0,0,1
2009,137,2009_1173,68,2009_1452,60,N,0,1,0,0,1
2009,137,2009_1242,84,2009_1295,74,N,0,1,0,0,1
2009,137,2009_1257,74,2009_1287,54,N,0,1,0,0,1
2009,137,2009_1266,58,2009_1429,57,N,0,1,0,0,1
2009,137,2009_1277,77,2009_1352,62,N,0,1,0,0,1
2009,137,2009_1281,78,2009_1165,59,N,0,1,0,0,1
2009,137,2009_1329,77,2009_1397,75,N,0,1,0,0,1
2009,137,2009_1338,72,2009_1190,62,N,0,1,0,0,1
2009,137,2009_1373,74,2009_1326,72,N,0,1,0,2,1
2009,137,2009_1393,59,2009_1372,44,N,0,1,0,0,1
2009,137,2009_1425,72,2009_1130,55,N,0,1,0,0,1
2009,137,2009_1458,61,2009_1199,59,N,0,1,0,1,1
2009,137,2009_1462,77,2009_1340,59,N,0,1,0,0,1
2009,138,2009_1163,92,2009_1401,66,N,0,1,0,0,1
2009,138,2009_1181,74,2009_1400,69,N,0,1,0,0,1
2009,138,2009_1211,83,2009_1443,81,N,0,1,0,0,1
2009,138,2009_1272,89,2009_1268,70,N,0,1,0,0,1
2009,138,2009_1314,84,2009_1261,70,N,0,1,0,0,1
2009,138,2009_1328,73,2009_1276,63,N,0,1,0,0,1
